Officel.Gene.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	g
TP53BP1	2.303041234	3.695860827	1.796886787	0.084127318	0.175801234	-5.143965535	stable
C8orf37	1.260508552	1.354203029	1.79681244	0.08413942	0.175809764	-5.144086763	stable
RRP1B	-0.863573734	0.633202982	-1.796644852	0.084166706	0.175843654	-5.144360014	stable
METRN	-0.874100153	0.492440093	-1.796614285	0.084171683	0.175843654	-5.144409852	stable
OR13J1	0.089284852	0.107047986	1.79653032	0.084185357	0.175855461	-5.144546748	stable
CYB561D2	-1.628855545	1.515174709	-1.796478833	0.084193743	0.175856221	-5.144630689	stable
WBSCR17	1.013850419	0.828574791	1.796402549	0.084206169	0.175865417	-5.144755054	stable
ZNF697	-0.406949058	0.268874838	-1.796306847	0.08422176	0.175881223	-5.144911071	stable
SLC39A7	-1.509942258	1.705083638	-1.796176544	0.084242992	0.175905288	-5.145123485	stable
RCSD1	1.932445815	2.575125803	1.796137633	0.084249333	0.175905288	-5.145186913	stable
HSPB11	-1.880835186	2.159901767	-1.796027653	0.084267258	0.175915201	-5.145366185	stable
TAS2R14	0.105802896	0.118060015	1.795977437	0.084275444	0.175915201	-5.145448038	stable
FAM187B	0.089307714	0.107063227	1.795960801	0.084278155	0.175915201	-5.145475153	stable
SOWAHA	0.047053794	0.104182374	1.795863549	0.08429401	0.175931544	-5.145633666	stable
AKAP6	1.535627159	1.900905321	1.795776832	0.08430815	0.175944303	-5.145775003	stable
CCL19	-0.898340411	0.399208875	-1.795637851	0.084330816	0.175974853	-5.146001512	stable
NDUFA13	-2.546583846	7.225725286	-1.795254164	0.084393418	0.176088722	-5.146626765	stable
BCOR	-1.339064763	1.193863341	-1.794989489	0.084436625	0.176162106	-5.147058019	stable
CCL15	-1.324979854	1.163720609	-1.794907897	0.084449948	0.176173136	-5.147190953	stable
GPS2	-1.943269576	3.479399069	-1.794798749	0.084467774	0.176193555	-5.147368775	stable
GTF3C1	-1.031399453	0.889122889	-1.794568289	0.084505423	0.176255316	-5.147744207	stable
ISM2	0.089370769	0.107105264	1.794392497	0.084534151	0.17629846	-5.148030559	stable
CUBN	0.720544584	0.695535386	1.794333398	0.08454381	0.176301833	-5.148126821	stable
TUBB3	-1.270129712	1.599666563	-1.793662474	0.08465354	0.176513863	-5.149219474	stable
DCLRE1B	-0.411048188	0.262468155	-1.793590104	0.084665383	0.176521767	-5.149337316	stable
NYAP2	1.119784037	1.228417055	1.793066638	0.084751091	0.176683658	-5.150189575	stable
ABCG2	1.329772973	1.522778246	1.792463553	0.084849927	0.176872883	-5.151171225	stable
CCM2L	1.354210431	0.950331705	1.792406861	0.084859223	0.176875441	-5.15126349	stable
ACOT1	-0.413960338	0.259000292	-1.792062297	0.084915741	0.176976417	-5.151824214	stable
PRR23C	1.684037334	1.366066424	1.791896007	0.084943028	0.177016458	-5.152094794	stable
UBTD2	-0.693382506	0.542154385	-1.791499187	0.085008176	0.177135382	-5.152740405	stable
NAPB	1.738310635	3.082839266	1.791267988	0.085046152	0.177197672	-5.153116506	stable
TMEM192	1.44483872	2.742107762	1.790600765	0.085155831	0.177395526	-5.154201697	stable
FLJ45079	0.10868163	0.119979171	1.790591849	0.085157298	0.177395526	-5.154216197	stable
VSTM2A	0.089530142	0.107211512	1.790445088	0.085181439	0.177428955	-5.15445485	stable
STPG1	1.512833058	2.812290137	1.790091939	0.085239554	0.177533136	-5.155029055	stable
WDR90	2.084790076	3.239933533	1.78955026	0.08532876	0.177702046	-5.155909631	stable
NOV	-0.678177059	0.337356636	-1.789455676	0.085344344	0.177717619	-5.156063371	stable
FAM126B	1.590469944	3.112087418	1.7892786	0.085373528	0.177761503	-5.156351176	stable
SGCG	-0.156288107	0.161213136	-1.78909367	0.085404015	0.177808093	-5.156651725	stable
CSK	-1.12630718	0.973969166	-1.788719807	0.085465677	0.177919574	-5.157259253	stable
ENTPD5	-1.366372691	1.921554661	-1.788655634	0.085476265	0.177924718	-5.157363523	stable
NTHL1	-1.871196838	1.943142892	-1.788518869	0.085498834	0.177954799	-5.157585736	stable
METTL16	1.820707168	2.955140097	1.788443246	0.085511316	0.17796388	-5.157708601	stable
SLC18A2	-0.878454455	0.838803629	-1.788346646	0.085527262	0.177980169	-5.157865541	stable
GLI3	0.109964287	0.120834275	1.788291057	0.085536439	0.177982371	-5.157955851	stable
ADH1C	-1.251809919	1.239139535	-1.788212393	0.085549427	0.177992502	-5.158083644	stable
FBXO16	-0.971993478	0.582125875	-1.787755434	0.08562491	0.178132642	-5.158825906	stable
SH2D2A	-0.782348211	0.458069961	-1.786969011	0.085754949	0.178386243	-5.160102988	stable
PJA2	-1.258570487	1.589358478	-1.786877681	0.085770061	0.178400751	-5.160251272	stable
PGLYRP1	0.089682552	0.107313119	1.786692158	0.085800768	0.178447688	-5.16055247	stable
MAP3K14-AS1	-0.350334834	0.266783738	-1.786490641	0.085834132	0.178500143	-5.160879607	stable
ARHGEF35	-0.303919994	0.272445335	-1.786423886	0.085845187	0.178506197	-5.160987968	stable
HDGFRP3	1.665388775	1.537284642	1.786287472	0.085867781	0.178536244	-5.161209397	stable
ROBO4	1.263393528	0.981541761	1.785428587	0.086010154	0.178815306	-5.162603241	stable
CDCA7L	-1.242757661	0.896244037	-1.785342423	0.086024448	0.178828064	-5.162743044	stable
BSND	0.505967853	0.500048505	1.785241556	0.086041184	0.178829442	-5.162906696	stable
PRR26	0.100402526	0.114459768	1.785240093	0.086041427	0.178829442	-5.16290907	stable
TOMM5	-1.373277111	6.587045248	-1.784997032	0.086081767	0.178896324	-5.163303396	stable
TMOD1	-0.556330018	0.309409733	-1.784667712	0.08613645	0.178976369	-5.163837597	stable
ZDHHC4	-1.213150947	0.835547568	-1.784666729	0.086136613	0.178976369	-5.163839191	stable
PPDPF	-1.788937622	2.382793814	-1.784143705	0.08622352	0.179139967	-5.164687446	stable
ZMYM5	1.831904171	2.439113773	1.783516751	0.086327796	0.179339615	-5.165704006	stable
LRRC42	-0.941511526	0.515116548	-1.783213017	0.086378352	0.179427638	-5.166196388	stable
WDR61	-2.141308619	3.316516019	-1.782995321	0.086414603	0.179485549	-5.166549254	stable
COPS6	-2.319332737	5.188608591	-1.782947265	0.086422607	0.179485549	-5.166627145	stable
CAB39	-1.202721168	1.14338553	-1.782725653	0.086459526	0.179545214	-5.166986316	stable
MIR4523	0.089858034	0.107430107	1.782397599	0.086514203	0.1796332	-5.167517937	stable
XCL2	-0.516571244	0.271952486	-1.782373113	0.086518285	0.1796332	-5.167557614	stable
PDE1B	1.370157523	1.143823083	1.782124199	0.086559793	0.17970236	-5.167960933	stable
ENPP2	-0.968017079	0.522787626	-1.782055152	0.08657131	0.17970925	-5.168072802	stable
KIRREL3	2.037581515	2.341218606	1.781930711	0.08659207	0.179735324	-5.168274412	stable
LINC00687	1.480926018	1.365709429	1.781002144	0.086747113	0.180032624	-5.169778466	stable
COX11	-1.274028518	1.716468808	-1.780974531	0.086751727	0.180032624	-5.169823182	stable
ACVR2B-AS1	0.6575272	0.573458498	1.780871102	0.086769012	0.180051449	-5.169990673	stable
SUGT1P3	1.435756062	1.229496607	1.780657318	0.086804749	0.180108556	-5.170336845	stable
SLC1A3	-1.208395401	0.923841898	-1.780589019	0.086816168	0.180115202	-5.170447432	stable
NLE1	-1.537244381	1.414829046	-1.780450575	0.086839321	0.180146074	-5.170671585	stable
LRRC57	1.516052259	2.840986851	1.780401762	0.086847485	0.180146074	-5.170750614	stable
ADORA3	-0.27711307	0.192133095	-1.780300061	0.086864497	0.180164314	-5.170915265	stable
INTS10	-2.11124918	2.924429964	-1.779780196	0.086951503	0.180315267	-5.171756797	stable
STXBP5-AS1	1.515984693	1.887648979	1.779766903	0.086953729	0.180315267	-5.171778311	stable
BRMS1L	-1.064901208	0.601239053	-1.779696091	0.086965586	0.180322798	-5.171892924	stable
LINC00671	1.518489558	1.434823006	1.779557286	0.086988833	0.180328116	-5.172117574	stable
SCTR	-0.401011602	0.238506972	-1.779517526	0.086995493	0.180328116	-5.172181921	stable
CLCN6	1.92078548	2.770718478	1.779502992	0.086997927	0.180328116	-5.172205442	stable
RPS5	-1.864830567	8.904211877	-1.779484314	0.087001056	0.180328116	-5.172235671	stable
MIR4519	-0.83262043	0.549168585	-1.779398938	0.087015359	0.18034071	-5.172373837	stable
RSPH1	-0.85348175	0.393265573	-1.7791784	0.087052314	0.180400244	-5.172730715	stable
ZCCHC4	1.775064041	2.329145005	1.779001708	0.087081932	0.180444564	-5.173016617	stable
PKP3	-0.694494185	0.528317619	-1.778896707	0.087099537	0.180463985	-5.173186506	stable
SSH2	1.594319817	3.244979245	1.778708951	0.087131025	0.180508068	-5.173490273	stable
UGP2	-1.796438235	3.527296264	-1.778671642	0.087137283	0.180508068	-5.173550631	stable
FES	1.304897999	0.91745675	1.778542478	0.087158951	0.180535894	-5.173759584	stable
TAF9	-1.688712691	4.617541902	-1.777891604	0.087268211	0.180745129	-5.174812348	stable
RAI2	1.154755993	0.817362079	1.777524093	0.087329955	0.180843077	-5.175406652	stable
ZBTB17	-0.67009438	0.358833446	-1.777511911	0.087332002	0.180843077	-5.175426349	stable
CCDC97	1.469616276	1.027268935	1.777257507	0.087374766	0.180914541	-5.175837688	stable
DPF1	0.992798332	0.931723286	1.777030266	0.08741298	0.18097657	-5.176205069	stable
DOHH	-0.662519413	0.320601876	-1.776381344	0.087522182	0.181169096	-5.177253983	stable
SACM1L	-1.302031289	1.585733794	-1.776379455	0.0875225	0.181169096	-5.177257036	stable
BTNL8	-0.295961248	0.237110773	-1.776235358	0.087546765	0.181202214	-5.177489913	stable
STX10	-1.484433441	1.294788124	-1.776130446	0.087564436	0.181208479	-5.177659453	stable
IL17RB	-0.893651971	0.415440334	-1.776119226	0.087566325	0.181208479	-5.177677584	stable
TCEANC	1.617426818	2.577896548	1.776039526	0.087579751	0.181219155	-5.177806375	stable
DNAJC7	1.687908971	5.796286431	1.775923091	0.087599369	0.18124264	-5.177994521	stable
TMEM131	-1.28978871	1.373591667	-1.775496214	0.087671323	0.181374393	-5.178684221	stable
OPN1SW	-0.40528447	0.270730807	-1.775280313	0.087707734	0.181413287	-5.179033	stable
ARFGEF1	-1.346045728	1.932519366	-1.775238201	0.087714838	0.181413287	-5.179101027	stable
INCA1	1.427988212	1.071049526	1.775237532	0.087714951	0.181413287	-5.179102108	stable
PITX3	0.090184807	0.107647956	1.774475442	0.087843588	0.181650303	-5.180332949	stable
ARHGAP10	0.927951819	0.666159297	1.774460435	0.087846123	0.181650303	-5.180357182	stable
PLXNA4	0.868102432	0.706964416	1.774268602	0.08787853	0.181685768	-5.180666942	stable
C20orf196	2.271835987	2.010565101	1.774260785	0.08787985	0.181685768	-5.180679563	stable
CAMKK1	1.557522024	1.952686463	1.774146382	0.087899182	0.181708597	-5.18086428	stable
C19orf53	-2.046591109	6.090115499	-1.773950108	0.087932356	0.181760035	-5.181181168	stable
GIMAP1	1.465226026	1.860060273	1.773847004	0.087949787	0.181778925	-5.18134762	stable
UQCRH	-1.826211875	6.294240628	-1.773576104	0.087995599	0.181856466	-5.181784926	stable
RGS14	-0.558620909	0.292344947	-1.773410255	0.088023657	0.181897302	-5.182052627	stable
KRTAP10-9	0.090241649	0.10768585	1.773107276	0.088074933	0.181986106	-5.18254162	stable
LPO	1.620394764	1.762025562	1.773006348	0.088092019	0.182004256	-5.182704499	stable
KIAA0319	-0.361868828	0.331037577	-1.772852092	0.088118139	0.182041064	-5.182953425	stable
GAB2	1.718838118	1.706454861	1.772113303	0.088243331	0.182282515	-5.184145391	stable
CEP89	1.640800579	1.885446157	1.772030962	0.088257293	0.182294179	-5.184278216	stable
ZNF212	1.204147448	1.184691697	1.771820225	0.088293036	0.182350824	-5.184618137	stable
GLO1	-1.940461693	3.961950119	-1.77171183	0.088311426	0.182371622	-5.184792967	stable
NLRC3	1.199499077	1.563201832	1.77101259	0.088430133	0.182599562	-5.185920568	stable
DTX3	0.081848004	0.102090087	1.770644936	0.088492603	0.182711345	-5.186513311	stable
RGS9	0.583584661	0.436581191	1.770005111	0.088601409	0.182907864	-5.18754463	stable
PIK3CD	1.216411971	1.619670675	1.769987112	0.088604471	0.182907864	-5.187573637	stable
SLC43A2	1.940823809	2.604545389	1.769532556	0.088681842	0.183050345	-5.188306143	stable
SLC29A2	-0.726442755	0.514186945	-1.769430452	0.08869923	0.183068997	-5.188470661	stable
SLC22A14	0.083151631	0.102959172	1.769169359	0.088743705	0.183143546	-5.18889132	stable
GIPC3	0.117923312	0.126140292	1.76882189	0.088802922	0.183231307	-5.189451068	stable
AZU1	1.132314844	1.142804987	1.768821744	0.088802947	0.183231307	-5.189451303	stable
ACER2	-0.687291288	0.401176185	-1.768750849	0.088815034	0.183238998	-5.1895655	stable
SREBF1	1.420735685	1.648073116	1.768275482	0.088896113	0.183389016	-5.190331121	stable
FBXL17	1.172570437	0.933000946	1.768219865	0.088905603	0.183391336	-5.190420687	stable
ANXA9	-0.309758491	0.210825071	-1.768104411	0.088925306	0.183414719	-5.190606607	stable
MED13L	1.34197195	2.008449492	1.767901015	0.088960027	0.18346907	-5.190934121	stable
STARD3NL	-1.278615917	1.490922428	-1.76773788	0.088987883	0.183509255	-5.191196784	stable
SLC1A2	0.898574503	0.881443123	1.767572672	0.0890161	0.183550177	-5.191462766	stable
RNF186	-0.400831177	0.233372464	-1.767059029	0.08910388	0.183698419	-5.192289597	stable
FBXL19-AS1	0.809664544	0.954949553	1.76705392	0.089104753	0.183698419	-5.192297821	stable
HMCN1	1.039036741	1.069582464	1.766801037	0.089147997	0.183770288	-5.192704827	stable
APCDD1L	0.090510372	0.107864999	1.766678578	0.089168945	0.183793906	-5.192901903	stable
SLC5A3	-0.382823336	0.257596745	-1.766636036	0.089176223	0.183793906	-5.192970366	stable
SOBP	1.474428941	1.030477378	1.766332263	0.089228207	0.183883757	-5.193459181	stable
PADI4	1.534086195	2.214083131	1.765654834	0.089344227	0.184101396	-5.194549029	stable
CKAP2L	1.014984705	1.042791149	1.765617579	0.089350611	0.184101396	-5.194608956	stable
PPL	1.335671753	1.057582199	1.765521514	0.089367076	0.184118013	-5.194763476	stable
GPR173	1.999516046	2.221661119	1.765277062	0.089408983	0.184187042	-5.195156648	stable
LSM10	-1.946399021	2.930700936	-1.765183007	0.089425111	0.184202956	-5.195307913	stable
APOB	1.284790031	0.974635002	1.764772196	0.089495586	0.184316065	-5.195968529	stable
EIF2S3	-1.622834655	4.702753426	-1.764764898	0.089496838	0.184316065	-5.195980263	stable
CCDC64	1.446838618	1.01208383	1.764557899	0.089532368	0.184371915	-5.196313088	stable
TNF	0.137906054	0.13946212	1.764179835	0.089597289	0.184488275	-5.19692088	stable
DBF4B	1.432999398	2.162828411	1.763702953	0.089679237	0.18463967	-5.197687393	stable
PDXDC2P	-0.731365693	0.532518008	-1.763637786	0.089690441	0.184645394	-5.197792126	stable
NLRP3	1.061088847	1.13506561	1.763471049	0.089719111	0.184687073	-5.198060085	stable
GPD2	-0.94462087	0.754015271	-1.763418246	0.089728192	0.184688423	-5.198144938	stable
FBXO28	-0.385936736	0.289088012	-1.763304788	0.089747708	0.184711248	-5.198327256	stable
HSD17B13	1.45933941	1.846969872	1.76319372	0.089766815	0.184733229	-5.198505727	stable
KANSL3	1.444584863	4.062578694	1.762968377	0.089805593	0.184795683	-5.198867792	stable
NRG4	-1.00504009	1.052343982	-1.762748949	0.089843367	0.18484952	-5.199220319	stable
CHGA	-0.32228039	0.207188868	-1.762718428	0.089848622	0.18484952	-5.199269351	stable
TTC19	1.494637999	3.346709009	1.762665582	0.089857722	0.184850893	-5.199354245	stable
TTLL2	0.864239359	0.729932468	1.762615661	0.089866318	0.184851231	-5.19943444	stable
RAB3C	1.081633181	0.768613538	1.762391689	0.089904897	0.184913233	-5.199794209	stable
RADIL	0.957165511	0.91342597	1.762300275	0.089920646	0.184928275	-5.19994104	stable
LINC00311	1.763240562	2.02004176	1.761555279	0.090049089	0.185175055	-5.201137436	stable
ZBTB5	-0.319585571	0.225276537	-1.761333953	0.090087278	0.185236208	-5.20149279	stable
STK32A	0.818686521	0.858467477	1.761273729	0.090097671	0.185240204	-5.201589477	stable
MRAS	-0.786995688	0.43306415	-1.760854345	0.090170079	0.18535276	-5.202262712	stable
NAA15	1.357093931	2.900636868	1.760819795	0.090176046	0.18535276	-5.202318169	stable
CCL2	-2.017416262	2.394991241	-1.760809737	0.090177783	0.18535276	-5.202334314	stable
FAM168B	-0.882197514	0.791194688	-1.760710691	0.090194892	0.185370545	-5.202493291	stable
EVC	0.067074209	0.115578611	1.760518225	0.090228146	0.185421504	-5.202802193	stable
TCP10L2	0.090777734	0.10804324	1.760346419	0.090257839	0.185465138	-5.203077915	stable
CACNA1C-AS4	0.090784978	0.10804807	1.760175725	0.090287348	0.185508385	-5.203351833	stable
AKAP12	1.224197308	2.214594926	1.759884871	0.090337649	0.18559434	-5.203818525	stable
SIGIRR	-1.395321696	1.279591905	-1.759833751	0.090346492	0.185595114	-5.203900544	stable
LRRC3B	0.090805071	0.108061465	1.759702534	0.090369195	0.185624356	-5.204111064	stable
PGLS	-1.568520483	1.571395239	-1.759624727	0.090382659	0.185634618	-5.204235891	stable
MTHFD1	-1.923081192	3.957375523	-1.759312493	0.090436707	0.185728224	-5.204736763	stable
TBCD	-2.109617733	2.926279894	-1.759174172	0.09046066	0.185760012	-5.20495863	stable
CHURC1-FNTB	-1.76427777	2.463448419	-1.758988533	0.090492814	0.185808635	-5.205256373	stable
SLC44A5	0.568456104	0.543153696	1.758805395	0.090524545	0.185856379	-5.205550081	stable
PDLIM7	-1.850642216	2.550474101	-1.758403245	0.090594256	0.185972107	-5.206194946	stable
TMEM38B	-1.65851107	1.570648206	-1.758382347	0.09059788	0.185972107	-5.206228454	stable
DUSP3	1.599293086	4.438383208	1.758043808	0.090656602	0.186075222	-5.206771222	stable
GUCY1B2	-0.303782387	0.201022867	-1.757898655	0.090681789	0.186109494	-5.207003915	stable
MAP9	-0.980585662	0.553181657	-1.757756943	0.090706386	0.186142546	-5.207231079	stable
NMUR1	1.415447275	1.257979901	1.757378515	0.090772095	0.186259955	-5.207837624	stable
ALAS1	-1.709981087	1.942189845	-1.757005787	0.090836855	0.186375393	-5.208434935	stable
NFYA	-0.436501525	0.434319495	-1.756847093	0.090864439	0.186414541	-5.208689218	stable
PCDHA8	0.083677609	0.103309823	1.75662694	0.090902718	0.18647562	-5.209041949	stable
TNNT1	1.684181216	1.642967073	1.756526779	0.090920138	0.186486383	-5.209202418	stable
CD300E	0.985554371	0.760407951	1.756498947	0.090924979	0.186486383	-5.209247006	stable
PAGE4	0.099715159	0.114001523	1.756437626	0.090935646	0.186490812	-5.209345243	stable
SLC52A1	1.401032818	2.211576021	1.756291242	0.090961114	0.186525591	-5.209579743	stable
C9orf163	-0.634008681	0.316958054	-1.75599185	0.09101322	0.186614985	-5.210059305	stable
AGXT2	0.127354007	0.132427422	1.755540522	0.091091819	0.186757293	-5.210782116	stable
MYCBPAP	2.232937114	2.953924407	1.75549549	0.091099664	0.186757293	-5.210854227	stable
C5orf60	1.450451376	1.414774781	1.75540621	0.09111522	0.186771717	-5.210997192	stable
NOTO	0.766280451	0.736557022	1.755317672	0.091130649	0.186785878	-5.211138961	stable
TARBP1	-1.470282168	1.791161156	-1.754615919	0.091253018	0.187019204	-5.212262432	stable
ZC3H7B	1.479852219	2.033841774	1.754469366	0.091278591	0.187054126	-5.212497012	stable
DYNC1LI2	-2.357438028	2.930914395	-1.753932664	0.091372295	0.187228649	-5.213355951	stable
PSKH1	-1.159300789	0.913956304	-1.753594677	0.091431348	0.187322445	-5.213896762	stable
ZNF597	-0.546881293	0.318005231	-1.753572858	0.091435161	0.187322445	-5.213931671	stable
PITPNM1	1.415332029	1.664524358	1.753335157	0.091476712	0.187390058	-5.214311961	stable
C1orf86	1.372212987	2.227430432	1.753134513	0.091511799	0.187444416	-5.214632935	stable
TAF1A	1.512935822	1.645059405	1.752972576	0.091540125	0.187467621	-5.214891967	stable
TRIM45	1.302096812	1.713696785	1.752971964	0.091540232	0.187467621	-5.214892945	stable
TPRG1-AS2	-0.846894586	0.531134248	-1.75286683	0.091558626	0.18748671	-5.215061106	stable
TH	0.120594283	0.127920939	1.752820925	0.091566658	0.18748671	-5.215134528	stable
ZNF274	1.447816735	2.96441647	1.75267495	0.091592205	0.187521502	-5.215367996	stable
PRADC1	-0.758720062	0.352668759	-1.752597466	0.091605767	0.187531754	-5.215491914	stable
CDH3	-1.801492199	2.585368956	-1.752457953	0.091630192	0.187555959	-5.215715025	stable
CAMTA2	2.486907742	2.825839079	1.75243219	0.091634703	0.187555959	-5.215756224	stable
MCMBP	1.824333637	2.560410949	1.751702156	0.091762605	0.187800211	-5.21692346	stable
ATL1	-1.302303465	1.060448716	-1.751597067	0.091781029	0.187803219	-5.217091453	stable
LSM14A	-1.689769602	3.411722107	-1.751596039	0.091781209	0.187803219	-5.217093096	stable
ZNF746	-0.504726049	0.326654333	-1.751204578	0.091849868	0.187926167	-5.217718809	stable
STMND1	1.110393998	1.235259601	1.750972888	0.091890525	0.187991805	-5.218089092	stable
GBP7	-0.57836789	0.298881796	-1.750919425	0.091899909	0.187993458	-5.21817453	stable
CAPN2	1.557141961	4.557026295	1.750869491	0.091908674	0.187993845	-5.218254327	stable
FCRL2	1.956075054	2.599851824	1.750734394	0.091932392	0.188024814	-5.218470208	stable
BTG2	-1.809859225	2.706398104	-1.750238732	0.092019455	0.188185323	-5.219262152	stable
GRIK3	0.09514551	0.110955091	1.749677877	0.092118054	0.188369391	-5.220158045	stable
TXNL4A	-1.456549851	1.422724115	-1.749483161	0.092152307	0.188421856	-5.220469026	stable
TMEM127	1.562952167	3.106256827	1.749386637	0.09216929	0.188439005	-5.220623176	stable
RHEB	-1.660143846	2.945213357	-1.749223571	0.092197988	0.188480098	-5.220883576	stable
RXRA	1.274415041	1.292503479	1.749149427	0.092211039	0.188489201	-5.221001972	stable
CYR61	-1.383386945	1.699855639	-1.748999582	0.09223742	0.188525546	-5.221241235	stable
MPLKIP	-0.743724644	0.69784932	-1.748935126	0.09224877	0.188531165	-5.221344149	stable
ORC6	2.185503037	4.4088973	1.748855936	0.092262716	0.188542089	-5.221470585	stable
ZNF226	-1.370090186	2.006525271	-1.748683023	0.092293173	0.188586749	-5.221746645	stable
CNGB1	0.559699096	0.455658027	1.748591714	0.092309259	0.188602039	-5.221892412	stable
AMBRA1	-0.605375776	0.461055607	-1.748270832	0.092365811	0.188699995	-5.22240463	stable
FOXI3	0.091336446	0.108415715	1.747317079	0.092534073	0.189026131	-5.223926652	stable
CACNB3	1.477827197	1.280099809	1.747254257	0.092545165	0.189031175	-5.224026881	stable
ATG5	-0.963263553	0.825223716	-1.747145783	0.092564321	0.189052686	-5.224199941	stable
GGTA1P	-0.533913788	0.288075525	-1.746381429	0.092699394	0.189310921	-5.225419151	stable
TCERG1	-1.691216399	1.916002225	-1.745945649	0.092776479	0.189445236	-5.226114071	stable
GIGYF1	-1.350507562	1.860988178	-1.745911911	0.092782449	0.189445236	-5.226167866	stable
POLE4	-1.991352744	2.436642974	-1.745818638	0.092798955	0.189461293	-5.226316583	stable
PAMR1	-0.837313844	0.384166622	-1.745306133	0.0928897	0.189628899	-5.227133634	stable
TRIM8	1.475594044	2.145962201	1.745160332	0.092915529	0.189663965	-5.227366039	stable
DOCK1	1.39857682	1.967320946	1.744997533	0.092944377	0.189705185	-5.227625521	stable
C9orf66	1.529887553	1.744144268	1.74492825	0.092956656	0.189712584	-5.227735944	stable
FHL2	1.896908102	4.490759256	1.744774282	0.092983949	0.189750619	-5.227981324	stable
PCNP	-1.856765544	4.582419888	-1.744567239	0.093020662	0.189807868	-5.228311266	stable
PPP4C	-1.8966535	4.924930945	-1.744457754	0.09304008	0.189815645	-5.228485728	stable
LPAR5	-0.319947827	0.232816482	-1.744448106	0.093041791	0.189815645	-5.228501101	stable
PLA2G2D	0.925267667	0.905204024	1.744292601	0.093069378	0.189854257	-5.228748877	stable
LXN	-1.651631447	1.842401822	-1.744124326	0.093099239	0.189897498	-5.229016983	stable
NFATC2IP	1.571029306	2.328886322	1.743758614	0.093164162	0.190012244	-5.229599586	stable
NRIP3	1.499907113	2.394129716	1.743477494	0.093214094	0.190096396	-5.230047363	stable
ZBTB7A	1.972063272	2.683755391	1.743300584	0.093245529	0.190142813	-5.230329122	stable
RAET1L	0.105623607	0.117940489	1.743136062	0.09327477	0.190182225	-5.230591131	stable
CAPZA2	-2.060087274	4.606145125	-1.743091591	0.093282675	0.190182225	-5.230661949	stable
NOTCH1	1.296134973	1.110692944	1.743045418	0.093290884	0.190182225	-5.230735478	stable
TBX1	0.253190048	0.216318116	1.742661825	0.093359102	0.190303596	-5.231346266	stable
CD244	-0.078074199	0.125786805	-1.742473123	0.093392676	0.190345293	-5.231646695	stable
SPSB3	-1.504130833	1.301592357	-1.742436355	0.093399219	0.190345293	-5.23170523	stable
TRIM15	-0.175898361	0.158394859	-1.742400459	0.093405607	0.190345293	-5.231762375	stable
TBC1D8B	1.794718883	3.549911211	1.741741974	0.09352286	0.190566519	-5.232810502	stable
SARNP	-1.886921047	4.107458343	-1.741678925	0.093534093	0.190571694	-5.232910841	stable
ITGA11	-0.969345826	0.676326579	-1.741535233	0.093559699	0.190606149	-5.233139512	stable
RHPN1	-0.569030118	0.302483423	-1.74139766	0.09358422	0.190638387	-5.23335843	stable
SRL	1.201256349	1.546917062	1.74090838	0.093671473	0.190798398	-5.234136907	stable
PCA3	0.993356306	0.782087054	1.740588821	0.093728497	0.190896812	-5.234645252	stable
EIF2B5	-1.932763294	2.045224279	-1.740364785	0.093768493	0.190960529	-5.2350016	stable
EFCAB1	0.137280469	0.139045063	1.740193496	0.093799082	0.191005079	-5.235274024	stable
OR6B2	0.106467679	0.118503203	1.740083128	0.093818796	0.191014469	-5.235449546	stable
ACSM2B	0.661833065	0.666213795	1.740070115	0.093821121	0.191014469	-5.23547024	stable
FAN1	-0.426607674	0.281371209	-1.739899078	0.09385168	0.19105894	-5.235742229	stable
ADRM1	-1.914016871	3.827016249	-1.73969065	0.09388893	0.191117025	-5.236073647	stable
PCSK6	-0.521432171	0.502439126	-1.739392561	0.093942227	0.191207758	-5.236547582	stable
XRN1	1.933236489	4.532805731	1.739308323	0.093957293	0.191220668	-5.236681501	stable
FAM188B	1.308127931	0.919610038	1.739115432	0.093991799	0.191273137	-5.236988135	stable
IGDCC4	-0.511358517	0.318726602	-1.738871213	0.094035503	0.191337156	-5.237376324	stable
EGFR	-1.092707282	1.298380189	-1.738842092	0.094040715	0.191337156	-5.237422608	stable
USPL1	-0.686307476	0.528487547	-1.738744687	0.094058152	0.191354872	-5.237577421	stable
LYSMD2	1.138873894	0.806774014	1.738195935	0.094156436	0.191526838	-5.238449464	stable
EN2	0.104235429	0.117015037	1.738175186	0.094160154	0.191526838	-5.238482433	stable
TCTA	-1.38358646	1.903257346	-1.738090726	0.094175289	0.191538881	-5.238616632	stable
POLR2G	-2.14921547	4.561110613	-1.738044634	0.09418355	0.191538881	-5.238689864	stable
SHF	1.298386268	1.270883914	1.737827711	0.094222436	0.191600187	-5.239034503	stable
RELL2	0.084503656	0.103860522	1.737373387	0.094303922	0.191718353	-5.239756202	stable
MFSD1	-1.589889331	2.534994484	-1.737362859	0.09430581	0.191718353	-5.239772924	stable
SPTLC3	1.571975929	1.764086355	1.737357435	0.094306784	0.191718353	-5.239781539	stable
NETO1	0.099983254	0.114180254	1.737252764	0.094325566	0.191729392	-5.239947789	stable
BNIP2	1.33569774	2.353491144	1.737229693	0.094329706	0.191729392	-5.239984431	stable
NOP56	-1.755747073	4.944708077	-1.736952064	0.094379542	0.1918129	-5.240425347	stable
